shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
26c0998d-3be1-4c67-9ab1-7f49516a6640,9,12,13,0.16666666666666666,0.2404725630436801,,1.7507302713408937,1.0,0.0,0.0,0.0
6bf60a52-7b42-4377-b1b0-64c76dac8130,5,6,6,0.3,0.0,,1.414213562373095,3.0,2.0,0.5,0.0
306af0a0-2adc-41f4-94a0-4550fd1c3fba,6,9,12,0.3,0.10095114404623,,2.7360368236306054,1.0,0.0,0.0,0.0
8c35f1bd-dabd-482f-96d5-8f656b974641,0,0,0,,,,,,,,
58dee723-be6c-4a27-b670-2d3d82a565fa,8,12,14,0.21428571428571427,0.20833333333333331,,2.1086148474528796,1.0,0.0,0.0,0.0
c71f1d13-c57b-4c85-971b-e66b3fa7839d,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
31ebec76-844e-4489-bd55-22ba6baa309e,4,3,3,0.25,0.0,,0.0,1.0,0.0,0.0,0.0
d3ebd28c-8b24-4ddf-9e11-d86d191e7b19,6,8,9,0.26666666666666666,0.279982455532194,,1.999999999999998,1.0,0.0,0.0,0.0
ed4e6d65-30d2-4439-89af-dc1b81d129dc,3,2,2,0.3333333333333333,0.0,,0.0,1.0,1.0,0.5,0.0
951b8142-5777-429a-8bfb-44f9898ad631,11,13,14,0.11818181818181818,0.1257515946890055,,1.4081816457104048,2.0,1.0,0.2888888888888889,0.0
cab4ddbd-eed1-41f1-bb60-249c006cf6f2,10,20,22,0.2222222222222222,0.20563162274772226,,2.946732407272999,5.0,4.0,0.3611111111111111,0.0
ea0b46da-b503-4e90-a637-6431d921bfcc,10,27,32,0.3,0.22380757563821257,1.6574074074074077,3.986591237426274,4.0,3.0,0.1111111111111111,0.37051521189363784
006143bc-cc3a-46de-a01b-97907b45c485,5,4,4,0.2,0.0,,0.0,2.0,1.0,0.25,0.0
6d54ba6a-93fa-4bc3-9e28-78c9478f1022,2,1,1,0.5,0.0,,0.0,,,,
f5e42edb-9ef6-419b-b2ed-0e9e467b91e5,4,3,3,0.25,0.0,,0.0,1.0,0.0,0.0,0.0
3cd44888-2a8a-46ff-a454-73f1a1dae1a1,0,0,0,,,,,,,,
b5e4dcaf-2007-4435-9c52-8d97f8ad39e4,5,7,7,0.35,0.3333333333333333,1.9,1.5341577449142652,2.0,2.0,0.5,0.5939665516999779
ab68d191-79ab-438b-a6e0-cfbb3bfa4474,0,0,0,,,,,,,,
5f4c33e9-db4a-470c-9da1-43380324cd19,4,4,4,0.3333333333333333,0.0,,1.0,1.0,0.0,0.0,0.0
d0be8f04-8249-45de-95ab-bd5eded22cd7,6,6,6,0.2,0.0,,1.0,1.0,0.0,0.0,0.0
548b3344-88bd-44e7-b78b-c569219ef1d0,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
14341980-96ef-414d-ab4e-7e3165c8ec75,8,11,12,0.19642857142857142,0.1875,,1.4142135623730947,2.0,0.0,0.0,0.0
6316afa5-dea9-4f61-ad10-6b0b79fb079b,9,14,18,0.19444444444444445,0.22527249100216412,,2.449976123147578,3.0,3.0,0.1607142857142857,0.0
c77e6a91-92a0-4ba0-b9e8-a8e6c7a7b2b7,10,17,17,0.18888888888888888,0.07666666666666666,,2.1174050519366756,2.0,1.0,0.0625,0.0
46bc3015-e2de-4dba-8de2-e8b49de20c99,9,27,36,0.375,0.46116410867711644,1.4513888888888886,5.146356005552611,4.0,3.0,0.017857142857142856,0.2461162683273791
2b5389b6-bead-485d-b352-68a649932b7f,6,12,14,0.4,0.38888888888888884,1.8166666666666667,2.9106875643425787,4.0,3.0,0.17500000000000002,0.5790773358148559
607c9e9d-c0a7-466d-a095-16e6b6b0d836,8,7,7,0.125,0.27083333333333337,,0.9999999999999999,1.0,0.0,0.0,0.0
7ae6b656-d1fc-4266-8ba8-0e1335343bab,9,19,19,0.2638888888888889,0.462962962962963,,2.4962971234727407,2.0,1.0,0.06547619047619047,0.0
3c6f9a75-7b63-48be-af13-7c0e75a32931,3,3,3,0.5,0.0,,1.0,1.0,0.0,0.0,0.0
ec85fe91-d865-4a21-a6a2-f990d1ee9fca,4,4,4,0.3333333333333333,0.0,,1.0,1.0,0.0,0.0,0.0
d7fa937d-364f-4e4f-b725-0f06f75c9ea2,8,19,22,0.3392857142857143,0.18287531797925416,1.988095238095238,3.7536457712057762,2.0,2.0,0.23809523809523808,0.30339703179457456
